timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1769132663170,178,GET - Traffic History,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-9,text,false,,2632,0,8,8,http://76.13.18.72:8000/api/traffic-history,0,0,49
1769132663171,178,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-15,text,false,,2632,0,7,7,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,48
1769132663171,178,GET - Average Speed,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-11,text,false,,2632,0,7,7,http://76.13.18.72:8000/api/average-speed,0,0,48
1769132663177,172,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-16,text,false,,2632,0,7,7,http://76.13.18.72:8000/api/traffic-classification,0,0,42
1769132663171,178,GET - Average Speed,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-14,text,false,,2632,0,7,7,http://76.13.18.72:8000/api/average-speed,0,0,48
1769132663171,178,GET - Traffic History,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-13,text,false,,2632,0,7,7,http://76.13.18.72:8000/api/traffic-history,0,0,48
1769132663171,178,GET - Traffic History,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-10,text,false,,2632,0,7,7,http://76.13.18.72:8000/api/traffic-history,0,0,48
1769132663350,102,GET - Traffic History,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-12,text,false,,2632,0,6,6,http://76.13.18.72:8000/api/traffic-history,0,0,30
1769132663350,103,GET - Average Speed,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-15,text,false,,2632,0,5,5,http://76.13.18.72:8000/api/average-speed,0,0,30
1769132663351,102,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-16,text,false,,2632,0,5,5,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,29
1769132663351,102,GET - Traffic History,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-14,text,false,,2632,0,5,5,http://76.13.18.72:8000/api/traffic-history,0,0,29
1769132663351,102,GET - Traffic History,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-11,text,false,,2632,0,5,5,http://76.13.18.72:8000/api/traffic-history,0,0,29
1769132663376,83,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-17,text,false,,2632,0,3,3,http://76.13.18.72:8000/api/traffic-classification,0,0,34
1769132663454,95,GET - Average Speed,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-16,text,false,,2632,0,3,3,http://76.13.18.72:8000/api/average-speed,0,0,37
1769132663459,195,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-17,text,false,,2632,0,4,4,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,32
1769132663576,78,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-18,text,false,,2632,0,4,4,http://76.13.18.72:8000/api/traffic-classification,0,0,24
1769132663549,105,GET - Traffic History,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-16,text,false,,2632,0,4,4,http://76.13.18.72:8000/api/traffic-history,0,0,30
1769132663454,200,GET - Traffic History,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-15,text,false,,2632,0,4,4,http://76.13.18.72:8000/api/traffic-history,0,0,37
1769132663655,202,GET - Average Speed,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-17,text,false,,2632,0,3,3,http://76.13.18.72:8000/api/average-speed,0,0,42
1769132663655,202,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-18,text,false,,2632,0,3,3,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,42
1769132663778,85,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-19,text,false,,2632,0,3,3,http://76.13.18.72:8000/api/traffic-classification,0,0,39
1769132663858,89,GET - Average Speed,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-18,text,false,,2632,0,3,3,http://76.13.18.72:8000/api/average-speed,0,0,21
1769132663858,89,GET - Traffic History,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-17,text,false,,2632,0,3,3,http://76.13.18.72:8000/api/traffic-history,0,0,21
1769132663863,91,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-19,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,37
1769132663955,97,GET - Average Speed,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-19,text,false,,2632,0,3,3,http://76.13.18.72:8000/api/average-speed,0,0,24
1769132663948,104,GET - Traffic History,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-18,text,false,,2632,0,3,3,http://76.13.18.72:8000/api/traffic-history,0,0,31
